case_id,risk_code,gold_page,requirement,evidence_role,source_authority,v1_rank,v2_rank,v21_rank,stage1_rank,llm_rank,delta_stage1_to_llm,official_task_status,classification
ipo_2020_01408,supplier_concentration,269,required,primary,financial_information,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01408,supplier_concentration,269,required,supporting,financial_information,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01408,supplier_concentration,193,required,supporting,business_section,1,1,2,1,1,0,completed,UNCHANGED_HEAD
ipo_2020_01408,supplier_concentration,193,required,supporting,business_section,1,1,2,1,1,0,completed,UNCHANGED_HEAD
ipo_2020_01408,redemption_rights,111,required,primary,pre_ipo_investment,6,6,3,6,1,5,completed,RECOVERED_TO_TOP3
ipo_2020_01408,material_litigation_compliance,222,required,primary,legal_disclosure,2,2,2,2,1,1,completed,UNCHANGED_HEAD
ipo_2020_01408,precommercial_product,127,required,primary,business_section,,,2,,,,completed,NOT_IN_STAGE1
ipo_2020_01961,cash_runway,471,required,primary,accountants_report,2,2,3,2,4,-2,completed,DEMOTED_FROM_TOP3
ipo_2020_01961,cash_runway,472,required,supporting,accountants_report,1,1,4,1,3,-2,completed,UNCHANGED_HEAD
ipo_2020_01961,continuous_loss,466,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01961,revenue_growth,466,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01961,customer_concentration,497,required,primary,accountants_report,3,5,3,3,3,0,failed,UNCHANGED_HEAD
ipo_2020_01961,supplier_concentration,237,required,primary,business_section,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01961,supplier_concentration,466,required,supporting,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01961,redemption_rights,150,required,primary,pre_ipo_investment,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01961,material_litigation_compliance,270,required,primary,legal_disclosure,,,,,,,failed,NOT_IN_STAGE1
ipo_2020_01961,precommercial_product,167,required,primary,business_section,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01942,cash_runway,311,required,primary,accountants_report,2,2,5,2,2,0,failed,UNCHANGED_HEAD
ipo_2020_01942,cash_runway,312,required,supporting,accountants_report,1,1,4,1,1,0,failed,UNCHANGED_HEAD
ipo_2020_01942,continuous_loss,306,required,primary,accountants_report,8,8,1,8,1,7,completed,RECOVERED_TO_TOP3
ipo_2020_01942,revenue_growth,306,required,primary,accountants_report,1,1,4,1,1,0,completed,UNCHANGED_HEAD
ipo_2020_01942,customer_concentration,149,required,primary,business_section,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01942,supplier_concentration,143,required,primary,business_section,2,2,3,2,2,0,failed,UNCHANGED_HEAD
ipo_2020_01942,redemption_rights,371,required,primary,legal_disclosure,1,1,1,1,3,-2,completed,UNCHANGED_HEAD
ipo_2020_01942,redemption_rights,191,required,supporting,corporate_structure,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01942,material_litigation_compliance,165,required,primary,legal_disclosure,4,6,4,4,4,0,failed,UNCHANGED_HEAD
ipo_2020_01942,material_litigation_compliance,165,required,supporting,legal_disclosure,4,6,4,4,4,0,failed,UNCHANGED_HEAD
ipo_2020_01942,precommercial_product,335,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02057,cash_runway,297,required,supporting,accountants_report,3,3,3,3,3,0,completed,UNCHANGED_HEAD
ipo_2020_02057,cash_runway,307,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02057,continuous_loss,301,required,primary,accountants_report,,,,,,,failed,NOT_IN_STAGE1
ipo_2020_02057,revenue_growth,300,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02057,customer_concentration,163,required,primary,business_section,2,2,2,2,1,1,completed,UNCHANGED_HEAD
ipo_2020_02057,supplier_concentration,166,required,primary,business_section,1,1,1,1,1,0,completed,UNCHANGED_HEAD
ipo_2020_02057,redemption_rights,228,required,primary,pre_ipo_investment,10,10,9,10,10,0,failed,UNCHANGED_HEAD
ipo_2020_02057,material_litigation_compliance,172,required,primary,legal_disclosure,,15,,,,,completed,NOT_IN_STAGE1
ipo_2020_02057,material_litigation_compliance,173,required,primary,legal_disclosure,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02057,precommercial_product,324,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02135,cash_runway,464,required,primary,accountants_report,2,2,3,2,4,-2,completed,DEMOTED_FROM_TOP3
ipo_2020_02135,cash_runway,459,required,primary,accountants_report,11,11,11,11,6,5,completed,UNCHANGED_HEAD
ipo_2020_02135,continuous_loss,458,required,primary,accountants_report,10,11,1,11,1,10,completed,DEEP_GAIN
ipo_2020_02135,revenue_growth,458,required,primary,accountants_report,17,17,,17,17,0,failed,UNCHANGED_HEAD
ipo_2020_02135,customer_concentration,244,required,primary,business_section,4,7,4,4,2,2,completed,RECOVERED_TO_TOP3
ipo_2020_02135,supplier_concentration,259,required,primary,business_section,2,2,2,2,1,1,completed,UNCHANGED_HEAD
ipo_2020_02135,redemption_rights,160,required,primary,pre_ipo_investment,1,1,1,1,1,0,failed,UNCHANGED_HEAD
ipo_2020_02135,material_litigation_compliance,289,required,primary,legal_disclosure,7,12,7,12,4,8,completed,DEEP_GAIN
ipo_2020_02135,precommercial_product,210,required,primary,business_section,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02263,cash_runway,400,required,primary,accountants_report,2,2,4,2,7,-5,completed,DEMOTED_FROM_TOP3
ipo_2020_02263,cash_runway,401,required,supporting,accountants_report,4,4,2,4,3,1,completed,RECOVERED_TO_TOP3
ipo_2020_02263,continuous_loss,397,required,primary,accountants_report,8,8,1,8,5,3,completed,RECOVERED_TO_TOP5
ipo_2020_02263,revenue_growth,397,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02263,customer_concentration,165,required,primary,business_section,3,5,6,3,2,1,completed,UNCHANGED_HEAD
ipo_2020_02263,customer_concentration,397,required,supporting,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02263,supplier_concentration,172,required,primary,business_section,1,1,1,1,1,0,failed,UNCHANGED_HEAD
ipo_2020_02263,redemption_rights,107,required,primary,corporate_structure,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02263,redemption_rights,466,required,supporting,corporate_structure,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02263,material_litigation_compliance,212,required,primary,legal_disclosure,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02263,material_litigation_compliance,224,required,supporting,legal_disclosure,1,1,1,1,4,-3,completed,DEMOTED_FROM_TOP3
ipo_2020_02263,precommercial_product,111,required,primary,business_section,,,18,,,,completed,NOT_IN_STAGE1
ipo_2020_02263,precommercial_product,112,required,supporting,business_section,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02599,cash_runway,610,required,primary,accountants_report,2,2,6,2,5,-3,completed,DEMOTED_FROM_TOP3
ipo_2020_02599,cash_runway,612,required,supporting,accountants_report,3,3,7,3,1,2,completed,UNCHANGED_HEAD
ipo_2020_02599,continuous_loss,602,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02599,revenue_growth,602,required,primary,accountants_report,1,1,1,1,1,0,completed,UNCHANGED_HEAD
ipo_2020_02599,customer_concentration,346,required,primary,business_section,1,1,3,1,1,0,completed,UNCHANGED_HEAD
ipo_2020_02599,supplier_concentration,341,required,primary,business_section,3,5,4,3,3,0,completed,UNCHANGED_HEAD
ipo_2020_02599,redemption_rights,205,required,primary,pre_ipo_investment,6,6,3,6,1,5,completed,RECOVERED_TO_TOP3
ipo_2020_02599,material_litigation_compliance,354,required,primary,legal_disclosure,13,17,13,18,5,13,completed,DEEP_GAIN
ipo_2020_02599,material_litigation_compliance,355,required,supporting,legal_disclosure,14,,14,19,6,13,completed,UNCHANGED_HEAD
ipo_2020_02599,precommercial_product,223,required,primary,business_section,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,cash_runway,510,required,primary,audited_financial_statement,1,1,1,1,3,-2,completed,UNCHANGED_HEAD
ipo_2021_00013,cash_runway,510,required,primary,audited_financial_statement,1,1,1,1,3,-2,completed,UNCHANGED_HEAD
ipo_2021_00013,continuous_loss,507,required,primary,audited_financial_statement,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,continuous_loss,507,required,primary,audited_financial_statement,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,revenue_growth,507,required,primary,audited_financial_statement,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,revenue_growth,507,required,primary,audited_financial_statement,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,customer_concentration,304,required,primary,business_section,1,1,1,1,1,0,completed,UNCHANGED_HEAD
ipo_2021_00013,customer_concentration,507,required,supporting,audited_financial_statement,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,supplier_concentration,305,required,primary,business_section,2,2,2,2,2,0,failed,UNCHANGED_HEAD
ipo_2021_00013,redemption_rights,133,required,primary,pre_ipo_investment,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,redemption_rights,133,required,primary,pre_ipo_investment,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,redemption_rights,432,required,cross_check,legal_disclosure,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,redemption_rights,433,required,cross_check,legal_disclosure,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,material_litigation_compliance,558,required,primary,accountants_report,1,1,1,1,1,0,completed,UNCHANGED_HEAD
ipo_2021_00013,precommercial_product,542,required,primary,accountants_report,,,,,,,failed,NOT_IN_STAGE1
ipo_2021_00013,precommercial_product,542,required,primary,accountants_report,,,,,,,failed,NOT_IN_STAGE1
