"case_id","split","gold_page","evidence_id","source_authority","section","evidence_role","requirement","exact_text_preview","v1_rank","v2_rank","v21_rank","diagnosis"
"ipo_2020_06968","development","428","ipo_2020_06968:precommercial_product:12","accountants_report","","primary","required","執行董事根據除所得稅前溢利計量評估經營分部的表現，並視之為唯一的經營分部，即物業開發部。因此，未列報分部披露資料。","","","","business_stage_expression_gap"
"ipo_2020_06968","development","428","ipo_2020_06968:precommercial_product:13","accountants_report","","supporting","required","於往績記錄期間確認的來自客戶合約的收益為位於中國的物業銷售額（均已於某一時點予以確認）。","","","","business_stage_expression_gap"
"ipo_2020_09600","development","403","ipo_2020_09600:precommercial_product:10","accountants_report","","primary","required","截至2018年12月31日止年度 金融機構 其他 總計 人民幣千元 人民幣千元 人民幣千元 軟件銷售 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 7,124 4,758 11,882 截至2019年12月31日止年度 金融機構 醫療機構 其他 總計 人民幣千元 人民幣千元 人民幣千元 人民幣千元 標準軟件銷售 . . . . . . . . . . . . . . . . . . ","","","","product_sales_vocabulary_gap"
"ipo_2020_09633","locked_validation","358","ipo_2020_09633:precommercial_product:13","accountants_report","","primary","required","5. 收益 收益分析如下： 截至12月31日止年度 截至5月31日止五個月 2017年 2018年 2019年 2019年 2020年 人民幣千元 人民幣千元 人民幣千元 人民幣千元 人民幣千元 （未經審核） 來自客戶合約的收益 銷售商品 17,491,214 20,475,045 24,021,041 9,917,234 8,663,655","","","","product_sales_vocabulary_gap"
"ipo_2020_09901","locked_validation","159","ipo_2020_09901:precommercial_product:14","business_section","","primary","required","我們致力於提供全面而優質的教育服務及產品，以滿足學生在人生各個階段（從幼兒園到成人）不斷變化的需求，包括K-12 AST、海外及國內備考、成人語言培訓、學前及中小學教育、教材及分銷、在線教育及其他服務。","","","","service_business_identity_gap"
"ipo_2020_09986","locked_validation","470","ipo_2020_09986:precommercial_product:14","accountants_report","","supporting","required","收益 6 217,343 289,787 383,647","","","","generic_revenue_counterevidence_gap"
"ipo_2021_00013","historical_development","542","ipo_2021_00013:precommercial_product:18","accountants_report","","primary","required","截至2020年12月31日止年度 腫瘤╱免疫業務 其他業務 合計 （千美元） 產品收入－上市產品（附註(a)） 11,329 – 11,329","","","","product_sales_vocabulary_gap"
"ipo_2021_00013","historical_development","542","ipo_2021_00013:precommercial_product:19","accountants_report","","primary","required","(a) 產品收入－上市產品及特許權使用費收入與腫瘤╱免疫業務分部開發並投放市場的腫瘤藥物的收入有關。","","","","product_sales_vocabulary_gap"
"ipo_2021_01024","development","633","ipo_2021_01024:precommercial_product:13","accountants_report","","primary","required","直播 . . . . . . . . . . . . . . . . . . . 7,948,997 18,615,130 31,442,341 22,922,116 25,309,312 線上營銷服務 . . . . . . . . . . 390,581 1,665,095 7,418,502 4,267,512 13,343,194 其他服務 . . . . . . . . . . . . . . — 20,420 259,505 78,340 2,024,935","","","","revenue_disaggregation_heading_gap"
"ipo_2021_02015","locked_validation","477","ipo_2021_02015:precommercial_product:15","accountants_report","","supporting","required","收入： 車輛銷售 – 280,967 9,282,703 1,416,817 841,058 3,463,673 528,660","","","","product_sales_vocabulary_gap"
"ipo_2021_02137","locked_validation","395","ipo_2021_02137:precommercial_product:13","business_section","","primary","required","我們預期就核心產品BRII-179的上市及商業化動用部分發售所得款項淨額，惟須待我們的開發投入、取得所需監管批准及合作協議條款後方可作實。我們計劃採取的舉措主要包括主要在預期推出BRII-179前一年招聘商業化人員及建立銷售渠道。","","","","clinical_or_approval_stage_gap"
"ipo_2021_02160","locked_validation","233","ipo_2021_02160:precommercial_product:20","business_section","","primary","required","於2020年10月，我們向國家藥監局提交VitaFlowTM II的註冊申請，該註冊申請得到了註冊臨床試驗結果的支撐。該註冊申請於2020年11月獲國家藥監局受理且目前正在審核中。","","","","clinical_or_approval_stage_gap"
"ipo_2021_02235","locked_validation","253","ipo_2021_02235:precommercial_product:15","business_section","","primary","required","Equil於2017年6月在歐洲獲得CE標誌，並於2017年9月在中國獲得國家藥監局的成人使用上市批准，2018年，我們開始在中國和歐洲進行Equil的商業化。我們自Equil所產生的收入由2019年的人民幣24.7百萬元增至2020年的人民幣34.7百萬元，並由截至2020年4月30日止四個月的人民幣8.3百萬元增至截至2021年同期的人民幣19.6百萬元。","47","33","","commercialisation_phrase_variation"
"ipo_2021_02518","development","146","ipo_2021_02518:precommercial_product:13","business_section","","primary","required","於業績紀錄期，我們的經營業績強勁。我們的淨收益由2018年的人民幣7,233.2百萬元增長16.4%至2019年的人民幣8,420.8百萬元，並進一步增長2.8%至2020年的人民幣8,658.6百萬元（1,327.0百萬美元）。","","","","multi_page_context"
"ipo_2021_06601","development","471","ipo_2021_06601:precommercial_product:10","accountants_report","","primary","required","貴集團主要在中國從事殺蟲驅蚊、家居清潔、空氣護理、個人護理、寵物護理及其他產品的生產及貿易。","","","","product_sales_vocabulary_gap"
"ipo_2021_06601","development","471","ipo_2021_06601:precommercial_product:11","accountants_report","","supporting","required","按產品類別劃分的收入 殺蟲驅蚊 920,380 936,376 875,948 862,612 948,083 家居清潔 330,170 330,846 362,200 273,576 354,957 空氣護理 77,353 63,501 62,096 49,111 46,124 個人護理 – – 71,495 54,851 92,810 寵物護理 35 87 1,743 254 9,940 其他（附註） 18,276 19,263 9,920 9,642 9,461 總計 ","","","","product_sales_vocabulary_gap"
"ipo_2021_06628","locked_validation","253","ipo_2021_06628:precommercial_product:13","business_section","","primary","required","MSB2311：我們的核心產品MSB2311為第二代PD-L1抑制劑，較其他PD-(L)1抗體具有獨特性。MSB2311將作為TMB-H泛型實體瘤的單藥療法在2期研究中進一步評估。","","","","clinical_or_approval_stage_gap"
"ipo_2021_06668","development","436","ipo_2021_06668:precommercial_product:16","accountants_report","","supporting","required","持續經營業務： 收入 5 278,067 328,694 387,314 286,698 305,862","","","","generic_revenue_counterevidence_gap"
"ipo_2021_06821","locked_validation","201","ipo_2021_06821:precommercial_product:20","business_section","","primary","required","商業化階段CDMO解決方案 1,037,590 56.9 1,215,784 49.7 1,651,006 52.6 715,724 57.0 785,405 44.7","","","","commercialisation_phrase_variation"
"ipo_2021_09898","locked_validation","208","ipo_2021_09898:precommercial_product:8","business_section","","primary","required","早在2012年我們就開始變現，此後隨著利潤率擴大，我們錄得穩健的收入增長，2016 年至2020年我們的收入按26.7%的複合年增長率錄得增長，我們的經營利潤率從2016 年的21.5%提高至2020 年的30.0%。我們主要通過提供廣告及營銷服務產生收入。於 2020年，我們的收入達到1,689.9百萬美元，其中廣告及營銷收入為1,486.2百萬美元。 於截至2021年6月30日止六個月，我們的收入達到1,033.4百萬美元，其中廣告及營銷 收入為892.3百萬美元。","","","","business_revenue_model_phrase_gap"
"ipo_2021_09982","locked_validation","123","ipo_2021_09982:precommercial_product:16","business_section","","primary","required","鑑於我們在整個房地產開發及運營過程的各個階段向項目擁有人提供房地產代建服務，我 們根據預先協定的條款向項目擁有人收取管理服務費，其通常包括(a)基於物業類型、位置、規 模及價格水平的基礎管理服務費；及(b)基於銷售表現的溢價管理服務費。","","","","service_business_identity_gap"
