case_id,risk_code,re_audit_status,finding_code,current_status,current_level,recomputed_level,backfill_method,evidence_count,source_fields_json,canonical_inputs_json,message
ipo_2020_02599,supplier_concentration,POLICY_AMBIGUITY,POLICY_AMBIGUITY_CONCENTRATION_PERIOD,verified,high,,legacy_structured_fact_normalization,1,"[""largest_supplier_pct"", ""top_five_supplier_pct"", ""largest_supplier_pct"", ""top_five_supplier_pct"", ""largest_supplier_pct"", ""top_five_supplier_pct"", ""largest_supplier_pct"", ""top_five_supplier_pct""]",{},Canonicalized periods imply different concentration states; latest-vs-any-period policy is not frozen.
ipo_2020_06063,customer_concentration,PASS,PASS,verified,high,high,legacy_structured_fact_normalization,7,"[""total_revenue"", ""largest_customer_revenue"", ""total_revenue"", ""top_five_customer_revenue_sum""]","{""largest_customer_pct"": 36.80328323442959, ""top_five_customer_pct"": 94.04517616485893}",Stored label agrees with frozen deterministic rule.
ipo_2020_06063,supplier_concentration,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,8,"[""total_supplier_purchases"", ""largest_supplier_purchases"", ""total_supplier_purchases"", ""top_five_supplier_purchase_sum""]","{""largest_supplier_pct"": 42.098430308037294, ""top_five_supplier_pct"": 73.89590463826272}",Stored label agrees with frozen deterministic rule.
ipo_2020_06900,revenue_growth,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,1,"[""prior_period_revenue"", ""current_period_revenue""]","{""current_revenue"": 1148500.0, ""previous_revenue"": 1151843.0}",Stored label agrees with frozen deterministic rule.
ipo_2020_08489,revenue_growth,POLICY_AMBIGUITY,POLICY_AMBIGUITY_REVENUE_PERIOD_AGGREGATION,verified,high,,legacy_structured_fact_normalization,1,"[""comparisons"", ""prior_revenue"", ""current_revenue"", ""comparisons"", ""prior_revenue"", ""current_revenue"", ""comparisons"", ""prior_revenue"", ""current_revenue""]",{},Multiple comparable growth pairs imply different levels; aggregation/selection is not frozen.
ipo_2020_08489,customer_concentration,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,2,"[""total_revenue"", ""largest_customer_revenue"", ""total_revenue"", ""top_five_customer_revenue""]","{""largest_customer_pct"": 37.46157613301841, ""top_five_customer_pct"": 67.92960187362094}",Stored label agrees with frozen deterministic rule.
ipo_2020_08489,supplier_concentration,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,2,"[""total_supplier_purchases"", ""largest_supplier_purchases"", ""total_supplier_purchases"", ""top_five_supplier_purchase_sum""]","{""largest_supplier_pct"": 22.644643164578753, ""top_five_supplier_pct"": 68.03520249536676}",Stored label agrees with frozen deterministic rule.
ipo_2020_09600,customer_concentration,POLICY_AMBIGUITY,POLICY_AMBIGUITY_CONCENTRATION_PERIOD,verified,high,,legacy_structured_fact_normalization,1,"[""largest_customer_pct"", ""top_five_customers_pct"", ""largest_customer_pct"", ""top_five_customers_pct"", ""largest_customer_pct"", ""top_five_customers_pct"", ""largest_customer_pct"", ""top_five_customers_pct""]",{},Canonicalized periods imply different concentration states; latest-vs-any-period policy is not frozen.
ipo_2020_09600,supplier_concentration,POLICY_AMBIGUITY,POLICY_AMBIGUITY_CONCENTRATION_PERIOD,verified,high,,legacy_structured_fact_normalization,1,"[""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct""]",{},Canonicalized periods imply different concentration states; latest-vs-any-period policy is not frozen.
ipo_2020_09986,revenue_growth,PASS,PASS,verified,high,high,legacy_structured_fact_normalization,1,"[""previous_revenue"", ""current_revenue""]","{""current_revenue"": 61981.0, ""previous_revenue"": 109144.0}",Stored label agrees with frozen deterministic rule.
ipo_2020_09986,supplier_concentration,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,1,"[""largest_supplier_pct"", ""top_five_suppliers_pct""]","{""largest_supplier_pct"": 30.2, ""top_five_supplier_pct"": 52.8}",Stored label agrees with frozen deterministic rule.
ipo_2021_00013,continuous_loss,PASS,PASS,verified,high,high,legacy_structured_fact_normalization,2,"[""periods"", ""net_loss"", ""periods"", ""net_loss"", ""periods"", ""net_loss""]","{""loss_periods"": [{""loss"": -71286.0, ""period"": ""year ended 31 December 2018""}, {""loss"": -103679.0, ""period"": ""year ended 31 December 2019""}, {""loss"": -115517.0, ""period"": ""year ended 31 December 2020""}]}",All comparable duration groups imply the same continuous-loss level.
ipo_2021_00013,revenue_growth,POLICY_AMBIGUITY,POLICY_AMBIGUITY_REVENUE_PERIOD_AGGREGATION,verified,medium,,legacy_structured_fact_normalization,2,"[""periods"", ""revenue"", ""revenue"", ""periods"", ""revenue"", ""revenue""]",{},Multiple comparable growth pairs imply different levels; aggregation/selection is not frozen.
ipo_2021_00606,customer_concentration,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,2,"[""total_revenue"", ""largest_customer_revenue"", ""total_revenue"", ""top_five_customer_revenue""]","{""largest_customer_pct"": 39.04783902325143, ""top_five_customer_pct"": 44.111518420830414}",Stored label agrees with frozen deterministic rule.
ipo_2021_01024,continuous_loss,PASS,PASS,verified,high,high,legacy_structured_fact_normalization,1,"[""periods"", ""loss"", ""periods"", ""loss"", ""periods"", ""loss""]","{""loss_periods"": [{""loss"": -20044950.0, ""period"": ""year ended 31 December 2017""}, {""loss"": -12429285.0, ""period"": ""year ended 31 December 2018""}, {""loss"": -19651534.0, ""period"": ""year ended 31 December 2019""}]}",All comparable duration groups imply the same continuous-loss level.
ipo_2021_01413,customer_concentration,PASS,PASS,verified,high,high,legacy_structured_fact_normalization,2,"[""disclosed_largest_customer_pct"", ""disclosed_top_five_customer_pct""]","{""largest_customer_pct"": 37.9, ""top_five_customer_pct"": 95.2}",Stored label agrees with frozen deterministic rule.
ipo_2021_01413,supplier_concentration,PASS,PASS,verified,high,high,legacy_structured_fact_normalization,2,"[""disclosed_largest_supplier_pct"", ""disclosed_top_five_supplier_pct""]","{""largest_supplier_pct"": 39.5, ""top_five_supplier_pct"": 80.2}",Stored label agrees with frozen deterministic rule.
ipo_2021_01927,revenue_growth,POLICY_AMBIGUITY,POLICY_AMBIGUITY_REVENUE_PERIOD_AGGREGATION,verified,medium,,legacy_structured_fact_normalization,1,"[""comparisons"", ""prior_revenue"", ""current_revenue"", ""comparisons"", ""prior_revenue"", ""current_revenue"", ""comparisons"", ""prior_revenue"", ""current_revenue""]",{},Multiple comparable growth pairs imply different levels; aggregation/selection is not frozen.
ipo_2021_02015,continuous_loss,PASS,PASS,verified,high,high,legacy_structured_fact_normalization,1,"[""comparable_periods"", ""net_loss"", ""comparable_periods"", ""net_loss"", ""comparable_periods"", ""net_loss""]","{""loss_periods"": [{""loss"": -1532318.0, ""period"": ""year ended 31 December 2018""}, {""loss"": -2438536.0, ""period"": ""year ended 31 December 2019""}, {""loss"": -151657.0, ""period"": ""year ended 31 December 2020""}]}",All comparable duration groups imply the same continuous-loss level.
ipo_2021_02137,continuous_loss,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,2,"[""periods"", ""loss"", ""periods"", ""loss""]","{""loss_periods"": [{""loss"": -521028.0, ""period"": ""year ended 31 December 2019""}, {""loss"": -1283510.0, ""period"": ""year ended 31 December 2020""}]}",All comparable duration groups imply the same continuous-loss level.
ipo_2021_02137,revenue_growth,POLICY_AMBIGUITY,OPEN_01_ZERO_REVENUE_GROWTH,needs_review,,,legacy_structured_fact_normalization,2,"[""revenue_from"", ""revenue_to""]","{""zero_revenue_fields"": {""revenue_from"": 0, ""revenue_to"": 0}}",Zero-revenue growth denominator remains an open policy item.
ipo_2021_02137,customer_concentration,POLICY_AMBIGUITY,OPEN_01_ZERO_REVENUE_CONCENTRATION,needs_review,,,legacy_structured_fact_normalization,2,[],{},Customer concentration denominator is zero; OPEN-01 remains unresolved.
ipo_2021_02137,supplier_concentration,PASS,PASS,verified,high,high,legacy_structured_fact_normalization,2,"[""total_supplier_purchases"", ""largest_supplier_purchases"", ""total_supplier_purchases"", ""top_five_supplier_purchases""]","{""largest_supplier_pct"": 57.61194700523187, ""top_five_supplier_pct"": 76.3883654976404}",Stored label agrees with frozen deterministic rule.
ipo_2021_02160,continuous_loss,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,1,"[""loss_periods"", ""loss"", ""loss_periods"", ""loss"", ""loss_periods"", ""loss"", ""loss_periods"", ""loss""]","{""loss_periods"": [{""loss"": -60263.0, ""period"": ""year ended 31 December 2018""}, {""loss"": -144522.0, ""period"": ""year ended 31 December 2019""}, {""loss"": -83499.0, ""period"": ""seven months ended 31 July 2019""}, {""loss"": -192628.0, ""period"": ""seven months ended 31 July 2020""}]}",All comparable duration groups imply the same continuous-loss level.
ipo_2021_02190,cash_runway,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,2,"[""cash_and_cash_equivalents"", ""net_cash_from_operating_activities"", ""period_months"", ""cash_and_cash_equivalents"", ""net_cash_from_operating_activities"", ""period_months""]","{""cash"": 59556.0, ""net_cash_used_in_operating_activities"": -82334.0, ""period"": ""截至2020年12月31日止年度"", ""period_months"": 12.0}",Stored label agrees with frozen deterministic rule.
ipo_2021_02190,continuous_loss,POLICY_AMBIGUITY,COMPARABILITY_AMBIGUITY_CONTINUOUS_LOSS,verified,medium,,legacy_structured_fact_normalization,1,"[""comparable_periods"", ""loss"", ""comparable_periods"", ""loss""]",{},
ipo_2021_02190,customer_concentration,PASS,PASS,verified,high,high,legacy_structured_fact_normalization,2,"[""revenue"", ""largest_customer_sales"", ""revenue"", ""top_five_customer_sales"", ""revenue"", ""largest_customer_sales"", ""revenue"", ""top_five_customer_sales""]","{""largest_customer_pct"": 78.31891715826427, ""top_five_customer_pct"": 87.80463971626072}",Stored label agrees with frozen deterministic rule.
ipo_2021_02215,supplier_concentration,POLICY_AMBIGUITY,POLICY_AMBIGUITY_CONCENTRATION_PERIOD,verified,medium,,legacy_structured_fact_normalization,2,"[""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct""]",{},Canonicalized periods imply different concentration states; latest-vs-any-period policy is not frozen.
ipo_2021_02235,continuous_loss,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,1,"[""loss_periods"", ""loss"", ""loss_periods"", ""loss"", ""loss_periods"", ""loss"", ""loss_periods"", ""loss""]","{""loss_periods"": [{""loss"": -78614.0, ""period"": ""year ended 31 December 2019""}, {""loss"": -121250.0, ""period"": ""year ended 31 December 2020""}, {""loss"": -4098.0, ""period"": ""four months ended 30 April 2020""}, {""loss"": -2581.0, ""period"": ""four months ended 30 April 2021""}]}",All comparable duration groups imply the same continuous-loss level.
ipo_2021_03658,customer_concentration,POLICY_AMBIGUITY,POLICY_AMBIGUITY_CONCENTRATION_PERIOD,verified,medium,,legacy_structured_fact_normalization,7,"[""total_revenue"", ""largest_customer_revenue"", ""total_revenue"", ""top_five_customer_revenues"", ""total_revenue"", ""largest_customer_revenue"", ""total_revenue"", ""top_five_customer_revenues"", ""total_revenue"", ""largest_customer_revenue"", ""total_revenue"", ""top_five_customer_revenues""]",{},Canonicalized periods imply different concentration states; latest-vs-any-period policy is not frozen.
ipo_2021_06628,continuous_loss,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,1,"[""annual_periods"", ""loss_for_period"", ""annual_periods"", ""loss_for_period"", ""three_month_periods"", ""loss_for_period"", ""three_month_periods"", ""loss_for_period""]","{""loss_periods"": [{""loss"": -437354.0, ""period"": ""year ended 31 December 2019""}, {""loss"": -322900.0, ""period"": ""year ended 31 December 2020""}, {""loss"": -24782.0, ""period"": ""three months ended 31 March 2020""}, {""loss"": -70044.0, ""period"": ""three months ended 31 March 2021""}]}",All comparable duration groups imply the same continuous-loss level.
ipo_2021_06628,customer_concentration,PASS,PASS,verified,high,high,legacy_structured_fact_normalization,3,"[""disclosed_top_five_customer_pct"", ""total_revenue"", ""largest_customer_revenue""]","{""largest_customer_pct"": 63.7447672206013, ""top_five_customer_pct"": 88.7}",Stored label agrees with frozen deterministic rule.
ipo_2021_06628,supplier_concentration,POLICY_AMBIGUITY,POLICY_AMBIGUITY_CONCENTRATION_PERIOD,verified,medium,,legacy_structured_fact_normalization,1,"[""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct""]",{},Canonicalized periods imply different concentration states; latest-vs-any-period policy is not frozen.
ipo_2021_06668,supplier_concentration,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,2,"[""disclosed_largest_supplier_pct"", ""disclosed_top_five_supplier_pct""]","{""largest_supplier_pct"": 30.7, ""top_five_supplier_pct"": 41.0}",Stored label agrees with frozen deterministic rule.
ipo_2021_06821,customer_concentration,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,3,"[""total_revenue"", ""largest_customer_revenue"", ""total_revenue"", ""top_five_customer_revenues""]","{""largest_customer_pct"": 27.870892210664216, ""top_five_customer_pct"": 64.02838071590372}",Stored label agrees with frozen deterministic rule.
ipo_2021_09626,continuous_loss,PASS,PASS,verified,high,high,legacy_structured_fact_normalization,1,"[""comparable_periods"", ""net_loss"", ""comparable_periods"", ""net_loss"", ""comparable_periods"", ""net_loss""]","{""loss_periods"": [{""loss"": -565021.0, ""period"": ""year ended 31 December 2018""}, {""loss"": -1303570.0, ""period"": ""year ended 31 December 2019""}, {""loss"": -3054017.0, ""period"": ""year ended 31 December 2020""}]}",All comparable duration groups imply the same continuous-loss level.
ipo_2021_09898,revenue_growth,POLICY_AMBIGUITY,POLICY_AMBIGUITY_REVENUE_PERIOD_AGGREGATION,verified,medium,,legacy_structured_fact_normalization,1,"[""comparisons"", ""prior_revenue"", ""current_revenue"", ""comparisons"", ""prior_revenue"", ""current_revenue"", ""comparisons"", ""prior_revenue"", ""current_revenue""]",{},Multiple comparable growth pairs imply different levels; aggregation/selection is not frozen.
ipo_2021_09982,supplier_concentration,POLICY_AMBIGUITY,POLICY_AMBIGUITY_CONCENTRATION_PERIOD,verified,medium,,legacy_structured_fact_normalization,2,"[""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct""]",{},Canonicalized periods imply different concentration states; latest-vs-any-period policy is not frozen.
ipo_2022_02179,revenue_growth,POLICY_AMBIGUITY,OPEN_01_ZERO_REVENUE_GROWTH,needs_review,,,legacy_structured_fact_normalization,1,"[""vaccine_sales_revenue""]","{""zero_revenue_fields"": {""vaccine_sales_revenue"": 0}}",Zero-revenue growth denominator remains an open policy item.
ipo_2022_02179,customer_concentration,POLICY_AMBIGUITY,OPEN_01_ZERO_REVENUE_CONCENTRATION,needs_review,,,legacy_structured_fact_normalization,1,[],{},Customer concentration denominator is zero; OPEN-01 remains unresolved.
